"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Type","Number of Positions or Pins (Grid)","Pitch - Mating","Contact Finish - Mating","Contact Finish Thickness - Mating","Contact Material - Mating","Mounting Type","Features","Termination","Pitch - Post","Contact Finish - Post","Contact Finish Thickness - Post","Contact Material - Post","Housing Material","Operating Temperature"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A08-LC-TT-R.jpg","AE9986-ND","A08-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 8POS TIN",99345,0,"0.19240",50,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","8 (2 x 4)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A14-LC-TT-R.jpg","AE9989-ND","A14-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 14POS TIN",20676,0,"0.23420",50,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","14 (2 x 7)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A16-LC-TT-R.jpg","AE9992-ND","A16-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 16POS TIN",33825,0,"0.26340",50,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","16 (2 x 8)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A18-LC-TT-R.jpg","AE9995-ND","A18-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 18POS TIN",22359,0,"0.28200",50,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","18 (2 x 9)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A20-LC-TT-R.jpg","AE9998-ND","A20-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 20POS TIN",36048,0,"0.29720",50,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","20 (2 x 10)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://media.digikey.com/pdf/Data%20Sheets/On%20Shore%20PDFs/EDXXXDT_Dwg.pdf","http://media.digikey.com/Photos/On%20Shore%20Technology%20Photos/ED281DT.JPG","ED3050-5-ND","ED281DT","On Shore Technology Inc.","CONN IC DIP SOCKET 28POS TIN",5349,0,"0.34280",50,1,"Tube","ED","DIP, 0.3"" (7.62mm) Row Spacing","28 (2 x 14)","0.100"" (2.54mm)","Tin","60µin (1.52µm)","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","60µin (1.52µm)","Phosphor Bronze","Polybutylene Terephthalate (PBT), Glass Filled","-55°C ~ 110°C"
"http://www.assmann.us/specs/Axx-LC-TT.pdf","http://media.digikey.com/photos/Assmann%20Photos/A28-LC-TT-R.jpg","AE10004-ND","A28-LC-TT","Assmann WSW Components","CONN IC DIP SOCKET 28POS TIN",11819,0,"0.43420",50,1,"Tube","-","DIP, 0.6"" (15.24mm) Row Spacing","28 (2 x 14)","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","-","Phosphor Bronze","Polybutylene Terephthalate (PBT)","-55°C ~ 85°C"
"http://multimedia.3m.com/mws/mediawebserver?66666UuZjcFSLXTt4X&Em8&aEVuQEcuZgVs6EVs6E666666--","http://media.digikey.com/photos/3M%20Photos/4816-3000-CP.jpg","3M5463-ND","4816-3000-CP","3M","CONN IC DIP SOCKET 16POS TIN",7150,0,"0.50180",50,1,"Tube","4800","DIP, 0.3"" (7.62mm) Row Spacing","16 (2 x 8)","0.100"" (2.54mm)","Tin","35µin (0.90µm)","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","35µin (0.90µm)","Phosphor Bronze","Polyester, Glass Filled","-25°C ~ 85°C"
"http://media.digikey.com/pdf/Data%20Sheets/On%20Shore%20PDFs/EDXXXDT_Dwg.pdf","http://media.digikey.com/Photos/On%20Shore%20Technology%20Photos/ED40DT.JPG","ED3048-5-ND","ED40DT","On Shore Technology Inc.","CONN IC DIP SOCKET 40POS TIN",12673,0,"0.48740",50,1,"Tube","ED","DIP, 0.6"" (15.24mm) Row Spacing","40 (2 x 20)","0.100"" (2.54mm)","Tin","60µin (1.52µm)","Phosphor Bronze","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","60µin (1.52µm)","Phosphor Bronze","Polybutylene Terephthalate (PBT), Glass Filled","-55°C ~ 110°C"
"http://assmann.us/specs/AR-xx-x_x.pdf","http://media.digikey.com/photos/Assmann%20Photos/AR08-HZL-TT-R.jpg","AE10011-ND","AR-08-HZL-TT","Assmann WSW Components","CONN IC DIP SOCKET 8POS TIN",39576,0,"0.55900",50,1,"Tube","-","DIP, 0.3"" (7.62mm) Row Spacing","8 (2 x 4)","0.100"" (2.54mm)","Tin","-","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Beryllium Copper","Thermoplastic, Polyester","-40°C ~ 105°C"
