"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Type","Number of Positions or Pins (Grid)","Pitch - Mating","Contact Finish - Mating","Contact Finish Thickness - Mating","Contact Material - Mating","Mounting Type","Features","Termination","Pitch - Post","Contact Finish - Post","Contact Finish Thickness - Post","Contact Material - Post","Housing Material","Operating Temperature"
"http://www.mill-max.com/assets/pdfs/093.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/115-93-640-41-003000.jpg","ED90220-ND","115-43-640-41-003000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 40POS GOLD",4179,0,"4.31660",100,1,"Tube","115","DIP, 0.6"" (15.24mm) Row Spacing","40 (2 x 20)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/098.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/110-13-314-41-801000.jpg","ED2109-ND","110-13-314-41-801000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 14POS GOLD",205,0,"4.31660",100,1,"Tube","110","DIP, 0.3"" (7.62mm) Row Spacing","14 (2 x 7)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame, Decoupling Capacitor","Solder","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/092.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/115-93-640-41-001000.jpg","ED90207-ND","115-43-640-41-001000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 40POS GOLD",160,0,"4.34080",100,1,"Tube","115","DIP, 0.6"" (15.24mm) Row Spacing","40 (2 x 20)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://assmann.us/specs/AR-xx-x_x.pdf","http://media.digikey.com/photos/Assmann%20Photos/AR28-HZL^07-TT-R.jpg","AE10041-ND","AR-28-HZL/07-TT","Assmann WSW Components","CONN IC DIP SOCKET 28POS GOLD",157,0,"5.59360",100,1,"Tube","-","DIP, 0.6"" (15.24mm) Row Spacing","28 (2 x 14)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Beryllium Copper","Thermoplastic, Polyester","-40°C ~ 105°C"
"http://www.arieselec.com/products/data/12026-open-frame-capacitor-collet-socket.pdf","http://media.digikey.com/Photos/Aries/14-3518-101.JPG","A807AR-ND","14-3518-101","Aries Electronics","CONN IC DIP SOCKET 14POS GOLD",226,0,"4.35430",100,1,"Bulk","518","DIP, 0.3"" (7.62mm) Row Spacing","14 (2 x 7)","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass","Polyamide (PA46), Nylon 4/6, Glass Filled","-"
"http://www.mill-max.com/assets/pdfs/145.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/540-44-084-17-400000.jpg","ED90031-ND","540-44-084-17-400000","Mill-Max Manufacturing Corp.","CONN SOCKET PLCC 84POS TIN",257,0,"4.36230",100,1,"Tube","540","PLCC","84 (4 x 21)","0.050"" (1.27mm)","Tin","150µin (3.81µm)","-","Surface Mount","Closed Frame","Solder","0.050"" (1.27mm)","Tin","150µin (3.81µm)","-","Polyphenylene Sulfide (PPS)","-"
"http://www.mill-max.com/assets/pdfs/090.PDF","http://media.digikey.com/Photos/Mill-Max%20Mfg%20Photos/110-001DIP632.JPG","ED56326-ND","110-13-632-41-001000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 32POS GOLD",548,0,"4.47250",100,1,"Tube","110","DIP, 0.6"" (15.24mm) Row Spacing","32 (2 x 16)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/129.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/299-93-310-10-001000.jpg","ED90135-ND","299-43-310-10-001000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 10POS GOLD",172,0,"4.52630",100,1,"Tube","299","DIP, 0.3"" (7.62mm) Row Spacing","10 (2 x 5)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole, Right Angle, Horizontal","Closed Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.arieselec.com/products/data/12019-single-dual-row-surface-mount-collet-socket.pdf","http://media.digikey.com/photos/Aries/20-0518-00.JPG","A833AR-ND","20-0518-00","Aries Electronics","CONN SOCKET SIP 20POS GOLD",320,0,"4.67680",100,1,"Bulk","518","SIP","20 (1 x 20)","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Beryllium Copper","Surface Mount","Open Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass","Polyamide (PA46), Nylon 4/6, Glass Filled","-"
"http://www.mill-max.com/assets/pdfs/109.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/123-13-316-41-001000.jpg","ED57163-ND","123-13-316-41-001000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 16POS GOLD",283,0,"4.87570",100,1,"Tube","123","DIP, 0.3"" (7.62mm) Row Spacing","16 (2 x 8)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame","Wire Wrap","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/098.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/110-13-316-41-801000.jpg","ED2110-ND","110-13-316-41-801000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 16POS GOLD",232,0,"4.92940",100,1,"Tube","110","DIP, 0.3"" (7.62mm) Row Spacing","16 (2 x 8)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame, Decoupling Capacitor","Solder","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.arieselec.com/products/data/12026-open-frame-capacitor-collet-socket.pdf","http://media.digikey.com/Photos/Aries/20-3518-101.JPG","A837AR-ND","20-3518-101","Aries Electronics","CONN IC DIP SOCKET 20POS GOLD",928,0,"5.10680",100,1,"Bulk","518","DIP, 0.3"" (7.62mm) Row Spacing","20 (2 x 10)","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass","Polyamide (PA46), Nylon 4/6, Glass Filled","-"
"http://www.mill-max.com/assets/pdfs/109.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/123-43-324-41-001000.JPG","ED90171-ND","123-43-324-41-001000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 24POS GOLD",520,0,"5.18210",100,1,"Tube","123","DIP, 0.3"" (7.62mm) Row Spacing","24 (2 x 12)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame","Wire Wrap","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/098.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/110-93-324-41-801000.jpg","ED90186-ND","110-43-324-41-801000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 24POS GOLD",665,0,"5.27080",100,1,"Tube","110","DIP, 0.3"" (7.62mm) Row Spacing","24 (2 x 12)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame, Decoupling Capacitor","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/090.PDF","http://media.digikey.com/Photos/Mill-Max%20Mfg%20Photos/110-001DIP964.JPG","ED90047-ND","110-43-964-41-001000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 64POS GOLD",200,0,"5.50460",100,1,"Tube","110","DIP, 0.9"" (22.86mm) Row Spacing","64 (2 x 32)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/129.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/299-93-608-10-002000.jpg","ED90142-ND","299-43-608-10-002000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 8POS GOLD",271,0,"5.54500",100,1,"Tube","299","DIP, 0.6"" (15.24mm) Row Spacing","8 (2 x 4)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole, Right Angle, Horizontal","Closed Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://cdn.harwin.com/pdfs/D01-995.pdf","http://media.digikey.com/Photos/Harwin/D01-9953242.JPG","952-2537-ND","D01-9953242","Harwin Inc.","CONN SOCKET SIP 32POS GOLD",208,0,"7.26310",100,1,"Bulk","D01-995","SIP","32 (1 x 32)","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Beryllium Copper","Through Hole","-","Wire Wrap","0.100"" (2.54mm)","Tin","196.8µin (5.00µm)","Brass","Polycyclohexylenedimethylene Terephthalate (PCT), Glass Filled","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/129.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/299-93-314-11-001000.jpg","ED90161-ND","299-43-314-11-001000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 14POS GOLD",213,0,"5.92120",100,1,"Tube","299","DIP, 0.3"" (7.62mm) Row Spacing","14 (2 x 7)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole, Right Angle, Horizontal","Closed Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/098.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/110-93-628-41-801000.jpg","ED90188-ND","110-43-628-41-801000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 28POS GOLD",262,0,"5.94810",100,1,"Tube","110","DIP, 0.6"" (15.24mm) Row Spacing","28 (2 x 14)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame, Decoupling Capacitor","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
