"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Color","CCT (K)","Flux @ 85°C, Current - Test","Flux @ 25°C, Current - Test","Current - Test","Voltage - Forward (Vf) (Typ)","Lumens/Watt @ Current - Test","CRI (Color Rendering Index)","Current - Max","Viewing Angle","Mounting Type","Package / Case"
"http://www.lumileds.com/uploads/404/DS120-pdf","http://media.digikey.com/Photos/Philips%20Lumileds%20Photos/Luxeon-Z-Series-Cool-White.jpg","1416-1147-2-ND","LXZ1-5770","Lumileds","LED LUXEON COOL WHITE 5700K 2SMD",2000,0,"1.22538",2000,2000,"Tape & Reel (TR)","LUXEON Z","White, Cool","5700K","152 lm (Typ)","-","500mA","2.8V","109 lm/W","70","1A","120°","Surface Mount","2-SMD, No Lead"
"http://www.lumileds.com/uploads/404/DS120-pdf","http://media.digikey.com/Photos/Philips%20Lumileds%20Photos/Luxeon-Z-Series-Cool-White.jpg","1416-1147-1-ND","LXZ1-5770","Lumileds","LED LUXEON COOL WHITE 5700K 2SMD",3143,0,"1.22539",2000,1,"Cut Tape (CT)","LUXEON Z","White, Cool","5700K","152 lm (Typ)","-","500mA","2.8V","109 lm/W","70","1A","120°","Surface Mount","2-SMD, No Lead"
"http://www.lumileds.com/uploads/404/DS120-pdf","http://media.digikey.com/Photos/Philips%20Lumileds%20Photos/Luxeon-Z-Series-Cool-White.jpg","1416-1147-6-ND","LXZ1-5770","Lumileds","LED LUXEON COOL WHITE 5700K 2SMD",3143,0,"Calculate",2000,1,"Digi-Reel®","LUXEON Z","White, Cool","5700K","152 lm (Typ)","-","500mA","2.8V","109 lm/W","70","1A","120°","Surface Mount","2-SMD, No Lead"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMX_BL.pdf","http://media.digikey.com/photos/Cree%20Photos/MX3AWT-A1-R250-000C51.jpg","MX3AWT-A1-0000-000E50TR-ND","MX3AWT-A1-0000-000E50","Cree Inc.","LED XLAMP COOL WHITE 6000K 2SMD",2800,0,"1.32897",2800,1400,"Tape & Reel (TR)","XLamp® MX-3","White, Cool","6000K","-","118 lm (114 lm ~ 122 lm)","350mA","3.7V","91 lm/W","75 (Typ)","500mA","120°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMX_BL.pdf","http://media.digikey.com/photos/Cree%20Photos/MX3AWT-A1-R250-000C51.jpg","MX3AWT-A1-0000-000E50CT-ND","MX3AWT-A1-0000-000E50","Cree Inc.","LED XLAMP COOL WHITE 6000K 2SMD",3912,0,"1.90088",2000,1,"Cut Tape (CT)","XLamp® MX-3","White, Cool","6000K","-","118 lm (114 lm ~ 122 lm)","350mA","3.7V","91 lm/W","75 (Typ)","500mA","120°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampMX_BL.pdf","http://media.digikey.com/photos/Cree%20Photos/MX3AWT-A1-R250-000C51.jpg","MX3AWT-A1-0000-000E50DKR-ND","MX3AWT-A1-0000-000E50","Cree Inc.","LED XLAMP COOL WHITE 6000K 2SMD",3912,0,"Calculate",2000,1,"Digi-Reel®","XLamp® MX-3","White, Cool","6000K","-","118 lm (114 lm ~ 122 lm)","350mA","3.7V","91 lm/W","75 (Typ)","500mA","120°","Surface Mount","2-SMD, Gull Wing, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXTE","http://media.digikey.com/Photos/Cree%20Photos/MFG_XLamp-XT-E.jpg","XTEAWT-00-0000-000000G51TR-ND","XTEAWT-00-0000-000000G51","Cree Inc.","LED XLAMP COOL WHITE 6200K 2SMD",3000,0,"1.38870",2000,1000,"Tape & Reel (TR)","XLamp® XT-E","White, Cool","6200K","135 lm (130 lm ~ 139 lm)","-","350mA","2.85V","135 lm/W","-","1.5A","115°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXTE","http://media.digikey.com/Photos/Cree%20Photos/MFG_XLamp-XT-E.jpg","XTEAWT-00-0000-000000G51CT-ND","XTEAWT-00-0000-000000G51","Cree Inc.","LED XLAMP COOL WHITE 6200K 2SMD",3819,0,"1.98600",2000,1,"Cut Tape (CT)","XLamp® XT-E","White, Cool","6200K","135 lm (130 lm ~ 139 lm)","-","350mA","2.85V","135 lm/W","-","1.5A","115°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXTE","http://media.digikey.com/Photos/Cree%20Photos/MFG_XLamp-XT-E.jpg","XTEAWT-00-0000-000000G51DKR-ND","XTEAWT-00-0000-000000G51","Cree Inc.","LED XLAMP COOL WHITE 6200K 2SMD",3819,0,"Calculate",2000,1,"Digi-Reel®","XLamp® XT-E","White, Cool","6200K","135 lm (130 lm ~ 139 lm)","-","350mA","2.85V","135 lm/W","-","1.5A","115°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.osram-os.com/Graphics/XPic8/00088570_0.pdf","http://media.digikey.com/Photos/Osram%20Opto%20Photos/OSLON%20SSL%20SERIES.JPG","475-3127-2-ND","LUW CRDP-LRLT-HPJR-1","OSRAM Opto Semiconductors Inc.","LED OSLON COOL WHT 6000K 2SMD",1200,0,"1.23425",2400,600,"Tape & Reel (TR)","OSLON SSL® 150","White, Cool","6000K","-","147 lm (130 lm ~ 164 lm)","350mA","2.95V","142 lm/W","70 (Typ)","1A","150°","Surface Mount","2-SMD, No Lead, Exposed Pad"
